r,cutoff,avg_time (seconds),median_time (seconds)
5,195,0.325606574,0.326854674
5,196,0.325486558,0.326341282
5,197,0.324190296,0.324685499
5,198,0.32845248,0.330545192
5,199,0.326332004,0.328962848
5,200,0.324611716,0.325328393
7,3,0.468080528,0.468623471
7,4,0.463842345,0.464184255
7,5,0.459325468,0.461842448
7,6,0.455503277,0.45622526
7,7,0.443493297,0.447066093
7,8,0.433440058,0.436619986
7,9,0.43100916,0.432345175
7,10,0.421919487,0.423144384
7,11,0.416257162,0.417876059
7,12,0.41622122,0.416597699
7,13,0.414771873,0.415139588
7,14,0.406479456,0.407093529
7,15,0.430201243,0.44492786
7,16,0.399433818,0.401815903
7,17,0.397641611,0.399587849
7,18,0.400014831,0.401124385
7,19,0.403059027,0.407242594
7,20,0.390835615,0.393074772
7,21,0.387575302,0.387827804
7,22,0.389150588,0.389859727
7,23,0.384878462,0.385174464
7,24,0.38056619,0.381225337
7,25,0.3779844,0.379809968
7,26,0.380540201,0.381144764
7,27,0.378679867,0.381313665
7,28,0.370260968,0.371909048
7,29,0.371596975,0.371981782
7,30,0.372968105,0.374834681
7,31,0.368128749,0.36880236
7,32,0.36754514,0.3684704
7,33,0.367980979,0.368727518
7,34,0.369501363,0.369605784
7,35,0.366559907,0.368735388
7,36,0.368591302,0.370464655
7,37,0.363892886,0.364484426
7,38,0.363659463,0.364012184
7,39,0.361926711,0.363118125
7,40,0.361479401,0.363424978
7,41,0.360892895,0.363188969
7,42,0.359159195,0.359625465
7,43,0.359614563,0.360457404
7,44,0.362584492,0.363636721
7,45,0.356936623,0.35705549
7,46,0.359042116,0.359106502
7,47,0.354292805,0.354580671
7,48,0.353477919,0.354529753
7,49,0.356270518,0.357292698
7,50,0.3514712,0.351805541
7,51,0.350889416,0.351967022
7,52,0.353212452,0.354060144
7,53,0.350665068,0.350742351
7,54,0.347885534,0.348903258
7,55,0.351878977,0.352356385
7,56,0.348329065,0.349620395
7,57,0.345756821,0.346404469
7,58,0.347225486,0.347612442
7,59,0.347461527,0.348027108
7,60,0.344421451,0.346273105
7,61,0.340874256,0.341228718
7,62,0.34202846,0.342873566
7,63,0.341505479,0.343103314
7,64,0.340165984,0.344576894
7,65,0.336006211,0.337473225
7,66,0.34273156,0.343623952
7,67,0.338350236,0.339121873
7,68,0.339547527,0.341474277
7,69,0.340517455,0.340994048
7,70,0.335612112,0.335723824
7,71,0.335585315,0.337460415
7,72,0.341387795,0.34169946
7,73,0.333066458,0.333533203
7,74,0.338454756,0.340420536
7,75,0.33643765,0.336690777
7,76,0.333592961,0.333717824
7,77,0.335404357,0.335826453
7,78,0.337030374,0.338648704
7,79,0.332045152,0.332328357
7,80,0.332762158,0.332854319
7,81,0.339082485,0.341584623
7,82,0.333355884,0.334478837
7,83,0.33544767,0.335535969
7,84,0.336272912,0.337015287
7,85,0.333098267,0.333833473
7,86,0.333816051,0.334348752
7,87,0.333602572,0.333843892
7,88,0.331865114,0.332693247
7,89,0.333856658,0.33472381
7,90,0.333901612,0.336268166
7,91,0.332888253,0.333278761
7,92,0.333532659,0.33363713
7,93,0.331247656,0.333442382
7,94,0.331090201,0.331264637
7,95,0.331394583,0.331875547
7,96,0.330971876,0.331584932
7,97,0.333732716,0.335917312
7,98,0.333396546,0.335621474
7,99,0.33299299,0.334682234
7,100,0.330516858,0.331920355
7,101,0.330938423,0.331811976
7,102,0.332125336,0.334625849
7,103,0.328447765,0.329516206
7,104,0.329991988,0.330509511
7,105,0.332799256,0.334036271
7,106,0.330856541,0.330881583
7,107,0.333337521,0.333672325
7,108,0.333442292,0.335166826
7,109,0.33084962,0.331429465
7,110,0.330845305,0.330975481
7,111,0.332171816,0.332801595
7,112,0.328380029,0.329141148
7,113,0.329590809,0.330321258
7,114,0.327127811,0.327471508
7,115,0.327555782,0.327839307
7,116,0.329402628,0.330879463
7,117,0.327863889,0.329389225
7,118,0.327068034,0.327106219
7,119,0.3326853,0.333066827
7,120,0.326699738,0.327617174
7,121,0.326513994,0.326805354
7,122,0.329721017,0.329846098
7,123,0.32882753,0.32975542
7,124,0.327638012,0.32765931
7,125,0.328636294,0.328706572
7,126,0.327107693,0.327190327
7,127,0.326112728,0.326234498
7,128,0.327609725,0.328297087
7,129,0.326666434,0.32767118
7,130,0.327969904,0.32836868
7,131,0.327171185,0.329547997
7,132,0.325927565,0.325929388
7,133,0.324866458,0.32503421
7,134,0.325716407,0.327452066
7,135,0.325917852,0.327627713
7,136,0.325773344,0.327520301
7,137,0.325812822,0.326873405
7,138,0.323898146,0.324989206
7,139,0.325266631,0.325964192
7,140,0.325809246,0.326408852
7,141,0.324386221,0.324657613
7,142,0.326210481,0.330543084
7,143,0.326733412,0.326879975
7,144,0.32495585,0.325124084
7,145,0.325998005,0.327363394
7,146,0.324843349,0.325094517
7,147,0.325465508,0.327629354
7,148,0.326656833,0.331115779
7,149,0.325603577,0.325751662
7,150,0.323957969,0.325555055
7,151,0.327125017,0.327685051
7,152,0.324243097,0.324367451
7,153,0.323135866,0.32403164
7,154,0.329238496,0.331468856
7,155,0.326928697,0.327046488
7,156,0.324240216,0.324960745
7,157,0.327055286,0.328081081
7,158,0.32462083,0.325653634
7,159,0.3254936,0.327319346
7,160,0.331879336,0.332384336
7,161,0.323422272,0.324213117
7,162,0.324961209,0.326424013
7,163,0.324428269,0.324946463
7,164,0.324327896,0.32579632
7,165,0.325511789,0.325974491
7,166,0.327804299,0.328899014
7,167,0.325715308,0.326016879
7,168,0.33091818,0.332368177
7,169,0.33198614,0.332054441
7,170,0.324662501,0.325599415
7,171,0.327753091,0.328983797
7,172,0.326650015,0.326746257
7,173,0.328718364,0.329499147
7,174,0.325705158,0.326185936
7,175,0.326015704,0.328282905
7,176,0.327326153,0.32889215
7,177,0.324823646,0.325828116
7,178,0.326457419,0.326516685
7,179,0.325480277,0.328562866
